# "Abs.in.light(w.length), created by Plot Digitizer, 2.6.3"
# "Date: 06/08/13, 10:38:22"
#
# 68
w.length,A,kk
309.533,0.129429,
308.956,0.120571,
310.689,0.110000,
311.267,0.102214,
313.433,0.0949286,
315.167,0.0891429,
319.500,0.0863571,
326.433,0.0861429,
333.800,0.0885000,
338.133,0.0915000,
341.600,0.0945000,
345.933,0.0979286,
350.267,0.103286,
355.033,0.107571,
361.533,0.109929,
365,0.111000,
370.200,0.109071,
374.100,0.105000,
377.133,0.100071,
381.467,0.0936429,
383.633,0.0882857,
386.233,0.0822857,
388.833,0.0765000,
391.433,0.0739286,
393.167,0.0730714,
397.067,0.0745714,
400.967,0.0715714,
402.267,0.0660000,
405.300,0.0593571,
406.600,0.0525000,
411.367,0.0460714,
420.467,0.0426429,
427.400,0.0428571,
433.900,0.0452143,
439.533,0.0484286,
443,0.0499286,
448.633,0.0525000,
456.867,0.0531429,
462.067,0.0520714,
469.867,0.0540000,
475.500,0.0552857,
482,0.0535714,
485.900,0.0503571,
490.667,0.0452143,
495.867,0.0396429,
501.067,0.0351429,
508.867,0.0289286,
515.800,0.0250714,
524.900,0.0216429,
532.700,0.0199286,
541.800,0.0182143,
550.900,0.0184286,
562.167,0.0175714,
572.567,0.0167143,
586.433,0.0165000,
596.400,0.0152143,
604.633,0.0137143,
611.133,0.0111429,
617.633,0.00878571,
624.567,0.00642857,
631.500,0.00450000,
638.867,0.00342857,
647.100,0.00171429,
654.900,0.00107143,
664.867,0.00107143,
676.567,0.000857143,
690.867,0.000642857,
699.100,0.000857143,
