"Absorbance(w.length), created by Plot Digitizer, 2.6.3"
"Date: 06/08/13, 10:31:14"


68
w.length,Absorbance,kk
309.533,0.129000,
309.533,0.119143,
309.533,0.106286,
311.844,0.0911429,
315.889,0.0794286,
323.400,0.0757143,
333.800,0.0794286,
340.733,0.0862857,
348.822,0.0948571,
354.022,0.103429,
358.644,0.106571,
363.267,0.106000,
366.156,0.104857,
370.778,0.106000,
375.400,0.106286,
378.867,0.102571,
380.600,0.0971429,
382.911,0.0900000,
385.222,0.0828571,
386.956,0.0734286,
389.267,0.0642857,
391.578,0.0560000,
396.200,0.0502857,
400.244,0.0477143,
405.444,0.0494286,
410.644,0.0534286,
414.111,0.0577143,
416.422,0.0617143,
418.733,0.0648571,
421.044,0.0682857,
425.089,0.0722857,
430.289,0.0751429,
434.333,0.0777143,
437.800,0.0822857,
440.689,0.0871429,
443,0.0917143,
445.889,0.0957143,
447.622,0.0988571,
452.244,0.100000,
455.711,0.0960000,
458.600,0.0925714,
460.911,0.0877143,
463.800,0.0837143,
468.422,0.0814286,
475.356,0.0820000,
479.400,0.0791429,
482.289,0.0760000,
484.022,0.0705714,
486.911,0.0634286,
489.222,0.0554286,
490.956,0.0460000,
493.267,0.0365714,
495,0.0314286,
497.889,0.0225714,
501.356,0.0145714,
507.133,0.00742857,
518.689,0.00285714,
526.778,0.00142857,
536.600,0.00142857,
547.578,0.00171429,
562.600,0.00142857,
580.511,0.00142857,
599,0.00142857,
614.600,0.00142857,
628.467,0.000285714,
644.644,0.000285714,
663.711,0.000285714,
699.533,0.000285714,
